Id,Label,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,componentnumber,modularity_class,eigencentrality
PASGEX04,,21,17.615138,10,0.343786,0.390836,0.000032,9,10,0.244173
PEVQOY,,63,55.705408,8,0.387408,0.447302,0.000098,9,10,0.652283
PUWDEQ,,40,34.310688,10,0.382008,0.434957,0.00003,9,10,0.529647
PUWDOA,,45,38.906459,9,0.370166,0.429095,0.000055,9,10,0.496255
QEDZEG,,44,37.146306,9,0.383222,0.437198,0.000066,9,10,0.507095
QUQFIS,,38,32.351165,10,0.368695,0.425278,0.000038,9,10,0.417343
REGREC,,45,39.858958,10,0.370621,0.428722,0.000052,9,10,0.461785
RUGXUO,,38,32.549049,9,0.381525,0.435415,0.000026,9,10,0.499195
SUZBEW,,13,10.994925,10,0.327628,0.367588,0.000003,9,10,0.141153
UBIBUF,,30,25.318405,10,0.366454,0.418979,0.000019,9,10,0.377594
UBUMAH,,24,20.524084,10,0.356699,0.404858,0.000036,9,10,0.327787
WASRAM,,34,28.660863,9,0.358395,0.413387,0.000024,9,10,0.374795
WIMWIA,,33,27.978358,9,0.366565,0.417477,0.000056,9,10,0.380855
XALDAS,,57,49.658192,10,0.384689,0.443719,0.00008,9,10,0.64838
XIGXAO,,11,9.343765,10,0.311065,0.345726,0.000016,9,10,0.080574
YANMUY,,27,22.793331,10,0.361511,0.413566,0.000009,9,10,0.349583
FIJCUX,,66,59.143104,9,0.39386,0.452971,0.000123,9,10,0.773748
FUTZOL,,68,59.081435,9,0.388656,0.45391,0.000167,9,10,0.670725
GAJVIY,,53,45.606686,9,0.374069,0.434007,0.000066,9,10,0.526104
IYEXIT,,56,48.598978,10,0.368582,0.429272,0.00008,9,10,0.524553
MIBQAR12,,59,51.983316,9,0.377347,0.436037,0.000065,9,10,0.579612
MIQKUT,,69,60.681986,9,0.391304,0.453201,0.000139,9,10,0.700143
NIRZAQ,,57,50.785037,10,0.384935,0.440759,0.000128,9,10,0.59144
NODTEH,,67,59.460049,9,0.384812,0.447203,0.000077,9,10,0.703265
PIJKEB,,46,40.206353,9,0.378175,0.433481,0.000063,9,10,0.515543
ULISOZ,,36,30.906983,10,0.357333,0.409997,0.00004,9,10,0.305427
VEGMOK03,,67,59.092422,9,0.377938,0.44216,0.000093,9,10,0.680213
VEHJUP,,54,47.729528,9,0.383832,0.441026,0.000071,9,10,0.591552
VEHKEA,,51,44.097894,9,0.379603,0.436929,0.000079,9,10,0.509511
VUSJUP,,56,50.018362,9,0.385427,0.442629,0.000066,9,10,0.606681
XUPGOG,,62,55.5012,9,0.386662,0.445282,0.00015,9,10,0.694231
YODWUL,,10,8.428413,10,0.32246,0.360426,0.000001,9,10,0.126366
ANUGUM,,43,37.700954,9,0.373259,0.428941,0.000028,9,10,0.50088
AVETAY,,26,22.880187,10,0.343199,0.392993,0.000016,9,10,0.268039
BEQKAM,,53,47.157579,10,0.377583,0.437315,0.000095,9,10,0.507248
CENQAP,,23,20.075678,9,0.350174,0.399388,0.000005,9,10,0.334667
DEMNOB,,35,30.842423,10,0.364902,0.418423,0.000041,9,10,0.390391
DITTEH,,39,33.795311,10,0.361402,0.417967,0.000019,9,10,0.438949
DOYHOQ,,24,20.784108,10,0.341546,0.388809,0.000009,9,10,0.244897
DUPKAC,,38,32.056971,9,0.372567,0.425544,0.000045,9,10,0.450598
DUZQAS,,45,39.068331,10,0.374418,0.432264,0.00004,9,10,0.514853
ETIXUC,,24,20.363276,10,0.352941,0.401265,0.000008,9,10,0.332624
FIQDAN,,33,27.725759,10,0.361294,0.415065,0.00003,9,10,0.386222
HAQRID,,37,31.746671,10,0.369372,0.423958,0.000045,9,10,0.406399
JALNUI,,23,19.294034,10,0.336589,0.38193,0.000066,9,10,0.187225
JEDDII,,33,28.39377,9,0.360862,0.412543,0.00004,9,10,0.430128
KEQDER,,14,11.658393,9,0.344276,0.385726,0.000002,9,10,0.209304
KOZNEU,,65,57.979118,9,0.384076,0.447985,0.000072,9,10,0.734242
MAVNUU,,25,21.554323,9,0.351911,0.399414,0.000008,9,10,0.313268
NIRROY,,42,36.372115,10,0.370166,0.427807,0.00005,9,10,0.484571
NIWYOJ,,52,45.267617,10,0.377111,0.43735,0.000065,9,10,0.55986
NUCPIM,,18,15.039425,10,0.335093,0.379159,0.00002,9,10,0.178186
PAQYEN,,14,11.624995,10,0.332415,0.373096,0.000011,9,10,0.160915
PEDWIH,,42,36.146697,10,0.369485,0.425665,0.000056,9,10,0.45604
PUGSER,,58,50.315314,9,0.380682,0.441648,0.000069,9,10,0.640482
QOPZIF,,25,21.234203,10,0.367012,0.416232,0.000032,9,10,0.321399
QOYYOU,,51,43.996459,9,0.381404,0.439792,0.000069,9,10,0.564305
RIHSEJ,,23,19.356643,10,0.349971,0.395792,0.000006,9,10,0.288342
SAHYOQ,,78,69.716628,9,0.398941,0.463124,0.000114,9,10,0.889572
SAHYOQ03,,62,54.259163,10,0.370279,0.43629,0.000065,9,10,0.593245
TEQLIM,,29,24.640121,9,0.362053,0.411382,0.000009,9,10,0.40724
TONQOD,,58,49.470826,9,0.390165,0.448467,0.000086,9,10,0.753607
UFOFUT,,43,37.697674,9,0.37349,0.430192,0.000034,9,10,0.47713
UXELIT,,63,56.639906,9,0.38225,0.444629,0.000056,9,10,0.737158
VAZTOG,,66,58.731588,8,0.39245,0.452015,0.000147,9,10,0.739882
WUHNUK,,47,40.331189,10,0.370849,0.430737,0.000024,9,10,0.62875
XOHLEM01,,49,42.397885,9,0.369939,0.428818,0.000082,9,10,0.450079
YICQOS01,,31,26.089464,10,0.360323,0.414206,0.000017,9,10,0.375055
AQAJEI,,13,11.285999,10,0.33269,0.377639,0.000002,9,10,0.199098
IFABIA02,,74,65.237023,10,0.389032,0.4532,0.000114,9,10,0.753348
KAKNEQ,,60,52.734016,10,0.373953,0.435283,0.000075,9,10,0.579579
LASNAW,,8,6.800327,10,0.311628,0.345591,0.000001,9,10,0.084704
MIBQAR03,,66,58.418235,9,0.387532,0.448447,0.00009,9,10,0.717106
MIBQAR04,,57,49.840326,10,0.37142,0.436376,0.000062,9,10,0.582915
PUCYAO01,,76,67.160263,9,0.388656,0.453955,0.000126,9,10,0.748917
SACCAD,,12,10.394382,10,0.333702,0.378071,0.000001,9,10,0.191077
VAZTUM,,58,51.140156,9,0.382129,0.441744,0.000062,9,10,0.635138
ARIDIQ,,7,5.795775,9,0.316868,0.353397,0,9,10,0.108819
XENMIO,,15,12.54015,10,0.34408,0.385745,0.000005,9,10,0.198188
ATULOS,,3,2.46896,10,0.298589,0.326648,0,9,10,0.04807
FUBNOH,,37,31.655469,10,0.373144,0.42574,0.000015,9,10,0.497165
FUVBAB,,51,45.322857,10,0.386415,0.442683,0.000058,9,10,0.600328
IDIXAU,,31,26.37667,9,0.364791,0.415058,0.000014,9,10,0.405294
IKENAP,,13,10.692169,10,0.323932,0.361805,0.000005,9,10,0.132955
JISMEG,,20,16.515844,9,0.347952,0.397627,0.000004,9,10,0.266425
LATFOC,,59,52.204529,9,0.376052,0.440118,0.000067,9,10,0.658181
LITDAV,,8,6.756881,10,0.310745,0.343452,0.000001,9,10,0.077589
MIBQAR14,,66,57.96855,9,0.388156,0.449939,0.000104,9,10,0.716564
MIMRAB01,,38,32.13721,10,0.367123,0.421055,0.00003,9,10,0.451233
MIQLII,,66,58.013382,10,0.396189,0.456874,0.000234,9,10,0.705165
NANYUX03,,57,49.799416,10,0.376993,0.439956,0.000111,9,10,0.527673
PAQYEN01,,15,12.602615,10,0.322805,0.360996,0.000035,9,10,0.124174
QUSWIK,,59,51.895892,9,0.384935,0.446686,0.000079,9,10,0.685844
VEHKIE,,59,51.724227,9,0.386167,0.448524,0.00011,9,10,0.629667
VOSWIL,,16,14.055218,10,0.330864,0.373793,0.000003,9,10,0.187543
XOHLEM,,54,47.246734,9,0.391051,0.446552,0.000177,9,10,0.558944
XOMHEO,,42,36.948847,10,0.372567,0.431269,0.000041,9,10,0.460614
AWEJES,,45,39.135248,9,0.378412,0.434942,0.000038,9,10,0.561486
CEPBOR,,17,14.502259,10,0.33991,0.3848,0.000003,9,10,0.230904
CUSXIY,,27,22.884448,9,0.361945,0.413622,0.000009,9,10,0.383586
DAWNAS,,17,14.616664,10,0.342906,0.389046,0.000003,9,10,0.23995
FECWOB,,9,7.418909,10,0.31871,0.356141,0.000064,9,10,0.114504
FIWKUT,,59,50.642347,9,0.389409,0.448281,0.00011,9,10,0.602672
KALXUT,,40,34.286001,9,0.371534,0.426751,0.000032,9,10,0.475291
KUNLEL,,47,41.423497,10,0.370849,0.429686,0.000047,9,10,0.489729
NOMQAJ01,,33,27.875133,9,0.367347,0.419246,0.000021,9,10,0.405053
PEDRIA,,61,54.220719,9,0.38555,0.445434,0.000062,9,10,0.643215
PEKGAO,,57,50.986176,9,0.386662,0.444003,0.000069,9,10,0.645416
QIDQUS,,11,9.214996,10,0.324717,0.364071,0.000002,9,10,0.138244
RUBBOH,,54,47.407472,9,0.387906,0.443906,0.00008,9,10,0.608336
SEVWIC,,33,28.148164,9,0.377938,0.4278,0.000024,9,10,0.435945
TADWIG,,13,10.687879,9,0.338574,0.381263,0.000001,9,10,0.204899
TEYHIR,,49,42.883191,10,0.3831,0.439117,0.000075,9,10,0.555199
TOHYUM,,38,32.355889,10,0.36435,0.421409,0.000041,9,10,0.408642
UFAMEW,,43,36.883548,9,0.37664,0.429492,0.000063,9,10,0.436702
USAHAZ,,33,28.208885,9,0.366565,0.418687,0.000023,9,10,0.427238
VAJNAW,,45,39.194099,10,0.368357,0.42538,0.000045,9,10,0.467721
VEHJOJ,,45,39.596582,10,0.376522,0.432359,0.00006,9,10,0.477211
VEHKAW,,59,51.872303,10,0.386662,0.446061,0.0001,9,10,0.617591
XASPEP,,64,56.121472,9,0.389158,0.452497,0.000137,9,10,0.689078
YOCDUR,,35,29.39075,10,0.370507,0.424628,0.000043,9,10,0.435222
CEJWAR,,39,33.902943,9,0.369146,0.424892,0.000024,9,10,0.539372
